x	y	theta	v	delta	a	delta_dot
4.999999999997943	3.7005615516472745	1.5707963267953466	0.42335129552477946	-3.8472083605008014e-14	0.10514736028567519	1.7443413368802624e-14
4.999999999997938	3.7147321571816376	1.5707963267953418	0.4268850365375025	-3.800556328629234e-14	0.10601223038175145	1.399560956148022e-14
4.999999999997932	3.7290210277942326	1.5707963267953369	0.4304472002185765	-3.7733183157202335e-14	0.10686491043226941	8.171403872706547e-15
4.999999999997927	3.7434291039290803	1.570796326795332	0.4340373678726244	-3.737201574109393e-14	0.10770502962147466	1.0835022483255018e-14
4.999999999997922	3.757957311735049	1.570796326795327	0.437655100485732	-3.7265333876081857e-14	0.1085319783932543	3.2004559503651904e-15
4.999999999997916	3.7726065622551785	1.5707963267953222	0.4412999307222027	-3.718801810774566e-14	0.10934490709414178	2.3194730500865744e-15
4.999999999997911	3.787377750348411	1.5707963267953173	0.444971354871869	-3.6915785516757476e-14	0.11014272449000666	8.166977729645932e-15
4.999999999997906	3.802271753342047	1.5707963267953124	0.4486688247464145	-3.683633935618043e-14	0.11092409623637718	2.3833848173123694e-15
4.9999999999979	3.817289429413295	1.5707963267953076	0.4523917395285377	-3.681391532319764e-14	0.1116874434637067	6.727209894839826e-16
4.999999999997895	3.832431615698539	1.5707963267953022	0.4561394375861935	-3.6853791827885597e-14	0.11243094172968382	-1.1962951406383693e-15
4.99999999999789	3.8476991261293025	1.570796326795297	0.45991118825969174	-3.697950924415688e-14	0.11315252020495298	-3.77152248813875e-15
4.999999999997884	3.8630927489944122	1.5707963267952916	0.46370618364692034	-3.713915449414398e-14	0.11384986161686492	-4.789357499613477e-15
4.999999999997879	3.878613244228827	1.5707963267952862	0.4675235304180014	-3.727943987524263e-14	0.11452040313243597	-4.208561432959922e-15
4.999999999997874	3.8942613404308	1.570796326795281	0.47136224170042723	-3.772138410956853e-14	0.11516133847278194	-1.3258327029776909e-14
4.999999999997868	3.910037731610599	1.5707963267952756	0.4752212290875356	-3.816411113434862e-14	0.11576962161325437	-1.3281810743402692e-14
4.999999999997863	3.925943073675997	1.5707963267952703	0.4790992948363454	-3.8443752552075114e-14	0.11634197246429716	-8.389242531795058e-15
4.999999999997858	3.941977980662194	1.570796326795265	0.48299512433547515	-3.8736408540733307e-14	0.1168748849738943	-8.779679659746199e-15
4.999999999997852	3.958143020716796	1.5707963267952596	0.486907278940643	-3.9207325239815116e-14	0.11736463815503671	-1.4127500972454518e-14
4.999999999997847	3.974438711854055	1.5707963267952538	0.49083418929487777	-3.954898795192034e-14	0.11780731062704249	-1.0249881363156983e-14
4.999999999997842	3.9908655174967924	1.570796326795248	0.494774149269351	-3.993500530868169e-14	0.11819879923419672	-1.1580520702840498e-14
4.999999999997836	4.007423744234153	1.5707963267952423	0.49871950278427934	-4.0367648684507005e-14	0.11836061115886075	-1.2979301834295431e-14
4.999999999997831	4.024083191730337	1.5707963267952363	0.5008473552762857	-4.0761772327837015e-14	0.06383557574386375	-1.1823709407768852e-14
4.999999999997826	4.0407756631464515	1.57079632679523	0.500700931390211	-4.1044149808180196e-14	-0.004392716430669338	-8.471324430373875e-15
4.99999999999782	4.057463541796588	1.5707963267952239	0.5005717878547585	-4.130425940486949e-14	-0.003874306059640051	-7.803287902682763e-15
4.999999999997815	4.074147378284876	1.5707963267952176	0.5004584015640554	-4.178594614401108e-14	-0.0034015887194850476	-1.4450602175195632e-14
4.99999999999781	4.090827673099598	1.5707963267952114	0.5003592873841044	-4.205496021387376e-14	-0.0029734253978605466	-8.070422096817619e-15
4.999999999997804	4.107504878987482	1.5707963267952048	0.5002730659341547	-4.211878619602537e-14	-0.0025866434981402123	-1.914779464912905e-15
4.999999999997799	4.124179404404314	1.570796326795198	0.5001984591059492	-4.232909404770954e-14	-0.0022382048459948746	-6.309235550582983e-15
4.999999999997794	4.140851616808268	1.5707963267951914	0.5001342851504987	-4.232787210746759e-14	-0.0019252186634423677	3.665820713701987e-17
4.999999999997788	4.157521845796874	1.5707963267951848	0.5000794541773511	-4.197309367941058e-14	-0.0016449291944049056	1.0643352841710826e-14
4.999999999997783	4.174190386093467	1.570796326795178	0.500032963624335	-4.15250195127274e-14	-0.0013947165904801347	1.3442225000560521e-14
4.999999999997778	4.190857500382242	1.570796326795172	0.49999389370495245	-4.1201352504553195e-14	-0.001172097581479105	9.710010245263054e-15
4.9999999999977724	4.207523421991416	1.5707963267951657	0.49996140284697527	-4.088767145521553e-14	-0.0009747257393154732	9.410431480144708e-15
4.999999999997767	4.224188357424475	1.5707963267951595	0.4999347231383173	-4.033771225179109e-14	-0.0008003912597404892	1.6498776102749466e-14
4.999999999997762	4.240852488740565	1.5707963267951532	0.4999131558292428	-3.9875632638617215e-14	-0.0006470192722384633	1.3862388395251197e-14
4.9999999999977565	4.257515975785591	1.570796326795147	0.4998960668748253	-3.929173647934029e-14	-0.0005126686325257997	1.7516884778342307e-14
4.999999999997751	4.274178958276347	1.570796326795141	0.499882882573423	-3.900027963357672e-14	-0.0003955290420704041	8.743705372957176e-15
4.999999999997746	4.290841557741176	1.5707963267951353	0.4998730853195043	-3.8491935611919215e-14	-0.0002939176175630285	1.5250320649752748e-14
4.9999999999977405	4.307503879321379	1.5707963267951295	0.49986620949600796	-3.785860074898106e-14	-0.0002062747048901736	1.9000045888196475e-14
4.999999999997737	4.324166013438328	1.5707963267951237	0.4998618375245622	-3.720625640753587e-14	-0.00013115914337270796	1.957033024342493e-14
4.999999999997733	4.340828037331796	1.570796326795118	0.49985959608742053	-3.6620900488341537e-14	-6.724311425113592e-05	1.7560677575904677e-14
4.99999999999773	4.357490016475364	1.5707963267951126	0.49985915253063534	-3.587304280160605e-14	-1.3306703557467749e-05	2.2435730602134066e-14
4.999999999997726	4.374152005875055	1.5707963267951075	0.4998602114548609	-3.5048132078045154e-14	3.1767726769790565e-05	2.4747321706918655e-14
4.999999999997723	4.390814051257517	1.5707963267951024	0.49986251149697947	-3.393607691069347e-14	6.90012635576946e-05	3.336165502065394e-14
